形容詞・イ段	連用タ接続	かっ	カッ	カッ
形容詞・イ段	連用テ接続	く	ク	ク
形容詞・イ段	連用テ接続-促音	くっ	クッ	クッ
形容詞・イ段	連用ゴザイ接続	ゅう	ュウ	ュー
形容詞・イ段	体言接続	き	キ	キ
形容詞・イ段	仮定形	けれ	ケレ	ケレ
形容詞・イ段	命令ｅ	かれ	カレ	カレ
形容詞・イ段	仮定縮約１	けりゃ	ケリャ	ケリャ
形容詞・イ段	仮定縮約１-長音	けりゃあ	ケリャア	ケリャー
形容詞・イ段	仮定縮約２	きゃ	キャ	キャ
形容詞・イ段	仮定縮約２-長音	きゃあ	キャア	キャー
形容詞・イ段	ガル接続	*	*	*
形容詞・ナイ	基本形	ない	ナイ	ナイ
形容詞・ナイ	音便基本形	ねえ	ネエ	ネー
形容詞・ナイ	文語基本形	なし	ナシ	ナシ
形容詞・ナイ	未然ヌ接続	なから	ナカラ	ナカラ
形容詞・ナイ	意志推量形	なかろう	ナカロウ	ナカロー
形容詞・ナイ	意志推量-短形	なかろ	ナカロ	ナカロ
形容詞・ナイ	連用タ接続	なかっ	ナカッ	ナカッ
形容詞・ナイ	連用テ接続	なく	ナク	ナク
形容詞・ナイ	連用テ接続-促音	なくっ	ナクッ	ナクッ
形容詞・ナイ	連用デ接続	ない	ナイ	ナイ
形容詞・ナイ	連用ゴザイ接続	のう	ノウ	ノー
形容詞・ナイ	体言接続	なき	ナキ	ナキ
形容詞・ナイ	仮定形	なけれ	ナケレ	ナケレ
形容詞・ナイ	命令ｅ	なかれ	ナカレ	ナカレ
形容詞・ナイ	仮定縮約１	なけりゃ	ナケリャ	ナケリャ
形容詞・ナイ	仮定縮約１-長音	なけりゃあ	ナケリャア	ナケリャー
形容詞・ナイ	仮定縮約２	なきゃ	ナキャ	ナキャ
形容詞・ナイ	仮定縮約２-長音	なきゃあ	ナキャア	ナキャー
形容詞・ナイ	ガル接続	な	ナ	ナ
特殊・ナイ	基本形	ない	ナイ	ナイ
特殊・ナイ	音便基本形	ねえ	ネエ	ネー
特殊・ナイ	音便基本形-短形	ね	ネ	ネ
特殊・ナイ	文語基本形	なし	ナシ	ナシ
特殊・ナイ	未然ヌ接続	なから	ナカラ	ナカラ
特殊・ナイ	意志推量形	なかろう	ナカロウ	ナカロー
特殊・ナイ	意志推量-短形	なかろ	ナカロ	ナカロ
特殊・ナイ	連用タ接続	なかっ	ナカッ	ナカッ
特殊・ナイ	連用テ接続	なく	ナク	ナク
特殊・ナイ	連用テ接続-促音	なくっ	ナクッ	ナクッ
特殊・ナイ	連用デ接続	ない	ナイ	ナイ
特殊・ナイ	連用ゴザイ接続	のう	ノウ	ノー
特殊・ナイ	体言接続	なき	ナキ	ナキ
特殊・ナイ	仮定形	なけれ	ナケレ	ナケレ
特殊・ナイ	命令ｅ	なかれ	ナカレ	ナカレ
特殊・ナイ	仮定縮約１	なけりゃ	ナケリャ	ナケリャ
特殊・ナイ	仮定縮約１-長音	なけりゃあ	ナケリャア	ナケリャー
特殊・ナイ	仮定縮約２	なきゃ	ナキャ	ナキャ
特殊・ナイ	仮定縮約２-長音	なきゃあ	ナキャア	ナキャー
特殊・ナイ	ガル接続	な	ナ	ナ
特殊・タイ	基本形	たい	タイ	タイ
特殊・タイ	音便基本形	てえ	テエ	テー
特殊・タイ	文語基本形	たし	タシ	タシ
特殊・タイ	未然ヌ接続	たから	タカラ	タカラ
特殊・タイ	意志推量形	たかろう	タカロウ	タカロー
特殊・タイ	意志推量-短形	たかろ	タカロ	タカロ
特殊・タイ	連用タ接続	たかっ	タカッ	タカッ
特殊・タイ	連用テ接続	たく	タク	タク
特殊・タイ	連用テ接続-促音	たくっ	タクッ	タクッ
特殊・タイ	連用ゴザイ接続	とう	トウ	トー
特殊・タイ	体言接続	たき	タキ	タキ
特殊・タイ	仮定形	たけれ	タケレ	タケレ
特殊・タイ	仮定縮約１	たけりゃ	タケリャ	タケリャ
特殊・タイ	仮定縮約１-長音	たけりゃあ	タケリャア	タケリャー
特殊・タイ	仮定縮約２	たきゃ	タキャ	タキャ
特殊・タイ	仮定縮約２-長音	たきゃあ	タキャア	タキャー
特殊・タイ	ガル接続	た	タ	タ
特殊・タ	基本形	*	*	*
特殊・タ	意志推量形	ろう	ロウ	ロー
特殊・タ	意志推量-短形	ろ	ロ	ロ
特殊・タ	仮定形	ら	ラ	ラ
特殊・ダ	基本形	だ	ダ	ダ
特殊・ダ	意志推量形	だろう	ダロウ	ダロー
特殊・ダ	意志推量-短形	だろ	ダロ	ダロ
特殊・ダ	連用形	で	デ	デ
特殊・ダ	連用タ接続	だっ	ダッ	ダッ
特殊・ダ	体言接続	な	ナ	ナ
特殊・ダ	仮定形	なら	ナラ	ナラ
特殊・ダ	命令ｅ	なれ	ナレ	ナレ
特殊・デス	基本形	す	ス	ス
特殊・デス	意志推量形	しょう	ショウ	ショー
特殊・デス	意志推量-短形	しょ	ショ	ショ
特殊・デス	連用形	し	シ	シ
特殊・ジャ	基本形	*	*	*
特殊・ジャ	意志推量形	ろう	ロウ	ロー
特殊・ジャ	意志推量-短形	ろ	ロ	ロ
特殊・ジャ	連用形	っ	ッ	ッ
特殊・マス	基本形	す	ス	ス
特殊・マス	未然形	せ	セ	セ
